Human.gene.name,Gene.name
KIF21B,Kif21b
RHOG,Rhog
DYNLL1,Dynll1
GSTT2,Gstt2
GSTT2B,Gstt2
OR1E1,Olfr390
OR1E2,Olfr390
AGBL3,Agbl3
RAD21L1,Rad21l
COQ7,Coq7
IL1R2,Il1r2
OXCT1,Oxct1
SEC14L4,Sec14l4
TGM5,Tgm5
KYNU,Kynu
GRHL1,Grhl1
SLC20A1,Slc20a1
DCUN1D4,Dcun1d4
PAPPA2,Pappa2
TMEM132D,Tmem132d
BOD1L1,Bod1l
ACBD5,Acbd5
CYP2U1,Cyp2u1
DROSHA,Drosha
IFNA6,Ifna13
IFNA21,Ifna13
IFNA7,Ifna13
IFNA2,Ifna13
IFNA4,Ifna13
IFNA10,Ifna13
IFNA8,Ifna13
IFNA17,Ifna13
IFNA1,Ifna13
IFNA16,Ifna13
IFNA14,Ifna13
IFNA5,Ifna13
IFNA13,Ifna13
PPP1R3E,Ppp1r3e
EIF4G3,Eif4g3
CD79A,Cd79a
PHAX,Phax
GSTM3,Gstm5
OR5AK2,Olfr993
NMNAT1,Nmnat1
RAB30,Rab30
RPL41,Rpl41
TIMM50,Timm50
IKBKAP,Ikbkap
IFNA6,Ifna16
IFNA21,Ifna16
IFNA7,Ifna16
IFNA2,Ifna16
IFNA4,Ifna16
IFNA10,Ifna16
IFNA8,Ifna16
IFNA17,Ifna16
IFNA1,Ifna16
IFNA16,Ifna16
IFNA14,Ifna16
IFNA5,Ifna16
IFNA13,Ifna16
PELI1,Peli1
SPAG6,Spag6
IFNA6,Ifna2
IFNA21,Ifna2
IFNA7,Ifna2
IFNA2,Ifna2
IFNA4,Ifna2
IFNA10,Ifna2
IFNA8,Ifna2
IFNA17,Ifna2
IFNA1,Ifna2
IFNA16,Ifna2
IFNA14,Ifna2
IFNA5,Ifna2
IFNA13,Ifna2
NAT8,Nat8f7
ZNF512,Zfp512
PRKCH,Prkch
ALDH7A1,Aldh7a1
TMEM52,Tmem52
MYCBPAP,Mycbpap
TRIP12,Trip12
ASCL1,Ascl1
ZBTB43,Zbtb43
TRADD,Tradd
EPS8,Eps8
OTC,Otc
PNPLA8,Pnpla8
PDXDC1,Pdxdc1
BDNF,Bdnf
RGS5,Rgs5
OR1E1,Olfr391-ps
OR1E2,Olfr391-ps
TXNDC9,Txndc9
TPGS2,Tpgs2
PLK4,Plk4
C6orf132,AI661453
DHDDS,Dhdds
CD37,Cd37
ST3GAL6,St3gal6
ZFP14,Zfp14
AC023509.3,Gm28047
ADAMTS18,Adamts18
BACE1,Bace1
OR6C3,Olfr788
NPFF,Npff
C1orf116,AA986860
GPC3,Gpc3
CFH,Gm4788
CFHR3,Gm4788
GLMN,Glmn
RARS2,Rars2
AL096814.1,1700001C19Rik
SLFN12,Slfn3
SLFN12L,Slfn3
AC023509.3,Atf7
TMEM74B,Tmem74b
MIF,Mif
C1orf21,1700025G04Rik
IGHV3-15,Ighv7-1
AC136616.2,Ighv7-1
IGHV3-49,Ighv7-1
PALD1,Pald1
STK40,Stk40
SRRT,Srrt
CREBZF,Crebzf
KIAA1328,AW554918
F2RL2,F2rl2
BRS3,Brs3
BPHL,Bphl
UBQLN4,Ubqln4
CCDC141,Ccdc141
PLCXD3,Plcxd3
ALDH3B2,Aldh3b3
DYNC1LI2,Dync1li2
BCR,Bcr
AC002310.5,Zfp764
AC002310.4,Zfp764
ZNF764,Zfp764
ZNF747,Zfp764
NAT8,Nat8f3
RGS4,Rgs4
PRAMEF9,Gm12800
PRAMEF26,Gm12800
PRAMEF17,Gm12800
PRAMEF25,Gm12800
PRAMEF5,Gm12800
PRAMEF1,Gm12800
PRAMEF12,Gm12800
PRAMEF27,Gm12800
PRAMEF14,Gm12800
PRAMEF8,Gm12800
PRAMEF7,Gm12800
PRAMEF15,Gm12800
PRAMEF6,Gm12800
PRAMEF20,Gm12800
PRAMEF19,Gm12800
PRAMEF18,Gm12800
PRAMEF2,Gm12800
PRAMEF13,Gm12800
PRAMEF33,Gm12800
PRAMEF4,Gm12800
PRAMEF11,Gm12800
PRAMEF10,Gm12800
SAMD9L,Samd9l
CDC42BPG,Cdc42bpg
GNAQ,Gnaq
MFSD14B,Mfsd14b
OR6C75,Olfr790
ADAM32,Adam32
MRLN,Mrln
IGHV1-24,Ighv14-1
AC245369.4,Ighv14-1
TTC13,Ttc13
DCBLD2,Dcbld2
DDX39B,Ddx39b
MFSD4B,Mfsd4b1
MROH2A,Mroh2a
NDUFB10,Ndufb10
PRAMEF9,Gm12794
PRAMEF26,Gm12794
PRAMEF17,Gm12794
PRAMEF25,Gm12794
PRAMEF5,Gm12794
PRAMEF1,Gm12794
PRAMEF12,Gm12794
PRAMEF27,Gm12794
PRAMEF14,Gm12794
PRAMEF8,Gm12794
PRAMEF7,Gm12794
PRAMEF15,Gm12794
PRAMEF6,Gm12794
PRAMEF20,Gm12794
PRAMEF19,Gm12794
PRAMEF18,Gm12794
PRAMEF2,Gm12794
PRAMEF13,Gm12794
PRAMEF33,Gm12794
PRAMEF4,Gm12794
PRAMEF11,Gm12794
PRAMEF10,Gm12794
RNF214,Rnf214
ADCK1,Adck1
GFPT1,Gfpt1
PRAMEF9,Gm12790
PRAMEF26,Gm12790
PRAMEF17,Gm12790
PRAMEF25,Gm12790
PRAMEF5,Gm12790
PRAMEF1,Gm12790
PRAMEF12,Gm12790
PRAMEF27,Gm12790
PRAMEF14,Gm12790
PRAMEF8,Gm12790
PRAMEF7,Gm12790
PRAMEF15,Gm12790
PRAMEF6,Gm12790
PRAMEF20,Gm12790
PRAMEF19,Gm12790
PRAMEF18,Gm12790
PRAMEF2,Gm12790
PRAMEF13,Gm12790
PRAMEF33,Gm12790
PRAMEF4,Gm12790
PRAMEF11,Gm12790
PRAMEF10,Gm12790
TRPV2,Trpv2
IARS2,Iars2
CCNE2,Ccne2
HEPACAM2,Hepacam2
OR6C2,Olfr791
TSPAN7,Tspan7
AF241726.2,Tspan7
SIRPB1,Sirpb1b
SIRPG,Sirpb1b
AL049634.2,Sirpb1b
SIRPA,Sirpb1b
HJURP,Hjurp
CYP2B6,Cyp2b9
CASP2,Casp2
RETN,Retn
CCDC190,Ccdc190
BCL2L2-PABPN1,Gm20521
PABPN1,Pabpn1
SSBP2,Ssbp2
NTAN1,Ntan1
IRF7,Irf7
GIMAP5,Gimap3
GIMAP1-GIMAP5,Gimap3
HIST1H4E,Hist1h4b
PRKDC,Prkdc
NQO1,Nqo1
DDAH2,Ddah2
HECW2,Hecw2
LMX1B,Lmx1b
OR5AK2,Olfr994
C6,C6
MRPS18A,Mrps18a
PPARGC1B,Ppargc1b
HEY1,Hey1
GATA4,Gata4
PAPOLB,Papolb
RADIL,Radil
SRPK2,Srpk2
NR2F2,Nr2f2
NOTCH3,Notch3
HECTD4,Gm15800
TMC7,Tmc7
KIAA1107,Gm42669
OR1E1,Olfr392
OR1E2,Olfr392
RSPH9,Rsph9
ATG5,Atg5
C11orf95,2700081O15Rik
KIAA1107,A830010M20Rik
HIST1H4J,Hist1h4a
HIST1H4F,Hist1h4a
FBXO36,Fbxo36
INTS8,Ints8
NAT8,Nat8f6
RBM43,Rbm43
TAS2R19,Tas2r120
TAS2R50,Tas2r120
TAS2R30,Tas2r120
TAS2R20,Tas2r120
TAS2R43,Tas2r120
TAS2R31,Tas2r120
TAS2R46,Tas2r120
ARHGAP29,Arhgap29
RAB3GAP2,Rab3gap2
NAT8,Nat8f5
PNMA1,Pnma1
PHRF1,Phrf1
DNAL1,Dnal1
TANK,Tank
CDC45,Cdc45
MAGIX,Magix
PANX1,Panx1
GALNTL6,Galntl6
RPAP2,Rpap2
TUBB2A,Tubb2a
KMT2E,Kmt2e
FHDC1,Fhdc1
IL13,Il13
GOLGB1,Golgb1
TGM7,Tgm7
TAS2R13,Tas2r121
IRS2,Irs2
RAB11FIP3,Rab11fip3
CDK6,Cdk6
FAM166A,Fam166a
SLC16A9,Slc16a9
KLF11,Klf11
IFNA6,Ifnab
IFNA21,Ifnab
IFNA7,Ifnab
IFNA2,Ifnab
IFNA4,Ifnab
IFNA10,Ifnab
IFNA8,Ifnab
IFNA17,Ifnab
IFNA1,Ifnab
IFNA16,Ifnab
IFNA14,Ifnab
IFNA5,Ifnab
IFNA13,Ifnab
TSEN15,Tsen15
RRS1,Rrs1
CNGB1,Cngb1
ATP4B,Atp4b
TUBB4B,Tubb4b
ACOT12,Acot12
BX072566.1,Gm21119
POTEC,Gm21119
POTEB,Gm21119
POTEF,Gm21119
POTEB3,Gm21119
POTEG,Gm21119
POTEA,Gm21119
POTEM,Gm21119
POTEI,Gm21119
POTED,Gm21119
POTEH,Gm21119
AC136352.3,Gm21119
POTEJ,Gm21119
POTEE,Gm21119
POTEB2,Gm21119
ADRA2B,Adra2b
BCL2L2,Bcl2l2
WWP1,Wwp1
OR14A16,Olfr465-ps1
CALN1,Caln1
MTMR2,Mtmr2
SYN3,Syn3
NOX3,Nox3
KLHL9,Klhl9
GCNT1,Gcnt1
CYP2A6,Cyp2a4
CYP2A13,Cyp2a4
CYP2A7,Cyp2a4
CCNE1,Ccne1
WDR75,Wdr75
DUXB,Duxbl2
ZNF688,Zfp688
EVA1B,Eva1b
NOL8,Nol8
PTCH1,Ptch1
AP3M1,Ap3m1
UFD1,Ufd1
ATL2,Atl2
AC074143.1,Fbxl8
FBXL8,Fbxl8
MBIP,Mbip
DOCK11,Dock11
VASP,Vasp
PCSK7,Pcsk7
RPL22,Rpl22
CDK9,Cdk9
TIMP3,Timp3
AC009122.1,Cphx2
AC025287.4,Cphx2
ASB2,Asb2
FAM133B,Fam133b
NUP188,Nup188
AC009122.1,Cphx3
AC025287.4,Cphx3
SPDYA,Spdya
FCAMR,Fcamr
RARRES1,Rarres1
TPT1,Tpt1
IGHV4-61,Ighv3-1
IGHV4-28,Ighv3-1
IGHV4-31,Ighv3-1
IGHV4OR15-8,Ighv3-1
IGHV4-39,Ighv3-1
AC135068.2,Ighv3-1
AC233755.1,Ighv3-1
IGHV4-34,Ighv3-1
IGHV4-4,Ighv3-1
IGHV4-59,Ighv3-1
MYBPC1,Mybpc1
MECOM,Mecom
TMEM254,Tmem254b
FMNL2,Fmnl2
PDLIM2,Pdlim2
ACOT13,Acot13
DDX47,Ddx47
LRTM2,Lrtm2
ZNF791,Zfp791
IGHV1-24,Ighv1-81
AC245369.4,Ighv1-81
PLAC9,Plac9b
TAS2R14,Tas2r115
MCEMP1,Mcemp1
CYP11B1,Cyp11b2
CYP11B2,Cyp11b2
RMDN1,Rmdn1
CACNA2D4,Cacna2d4
OR1E1,Olfr393
OR1E2,Olfr393
HTATSF1,Htatsf1
PSMF1,Psmf1
VSIR,Vsir
SIRPB1,Sirpb1c
SIRPG,Sirpb1c
AL049634.2,Sirpb1c
SIRPA,Sirpb1c
ALDH3B2,Aldh3b2
TAS2R13,Tas2r124
CARD6,Card6
RASSF6,Rassf6
OR5AK2,Olfr995
LMO4,Lmo4
SPACA3,Spaca3
DERL3,Derl3
ATG4C,Atg4c
IL1R1,Il1r1
ITGBL1,Itgbl1
TXNDC12,Txndc12
RASGRP1,Rasgrp1
SSR2,Ssr2
TMEM126A,Tmem126a
TAGLN,Tagln
IGHV1-24,Ighv14-2
AC245369.4,Ighv14-2
SGTA,Sgta
KLHDC10,Klhdc10
PHC2,Phc2
KTI12,Kti12
MAP3K5,Map3k5
MED18,Med18
STIM1,Stim1
MCCC1,Mccc1
PLA2G16,Pla2g16
CPED1,Cped1
POLR3E,Polr3e
SETX,Setx
C12orf49,2410131K14Rik
NLRP4,Nlrp4c
IGHV1-24,Ighv1-82
AC245369.4,Ighv1-82
GPAT2,Gpat2
SEC14L3,Sec14l3
OR8D2,Olfr924
TDP2,Tdp2
PTGER4,Ptger4
KLHL4,Klhl4
USP38,Usp38
TAS2R13,Tas2r102
SLFN14,Slfn14
RFK,Rfk
PPP1R12C,Ppp1r12c
RSAD1,Rsad1
DCHS1,Dchs1
C1orf146,1700028K03Rik
HIST1H1A,Hist1h1a
PLA2G7,Pla2g7
UBXN6,Ubxn6
TTC33,Ttc33
CEACAM3,Ceacam3
CEACAM4,Ceacam3
TSPAN11,Tspan11
COBL,Cobl
FCGRT,Fcgrt
GPKOW,Gpkow
MTRR,Mtrr
PPM1N,Ppm1n
CDH23,Cdh23
SGMS2,Sgms2
SHH,Shh
NOB1,Nob1
KAT7,Kat7
PTHLH,Pthlh
ELOVL6,Elovl6
DCUN1D1,Dcun1d1
LRRC8A,Lrrc8a
MRPL17,Mrpl17
KIAA1107,Btbd8
NUDT3,Nudt3
PPP1R7,Ppp1r7
RCN3,Rcn3
OR8D1,Olfr26
TRIM38,Trim38
CCDC160,Ccdc160
MAP1S,Map1s
LZIC,Lzic
MCFD2,Mcfd2
AL672142.1,Gm28038
ANGPTL8,Angptl8
BTBD8,Btbd8
DOLK,Dolk
PAFAH2,Pafah2
PHYHD1,Phyhd1
FPR1,Fpr1
DOCK6,Dock6
CRYBA4,Cryba4
SWAP70,Swap70
IGHV1-24,Ighv14-3
AC245369.4,Ighv14-3
TLDC1,Tldc1
NUDT8,Nudt8
CEACAM3,Psg29
CEACAM4,Psg29
WBSCR28,Wbscr28
HAMP,Hamp
OR1E1,Olfr394
OR1E2,Olfr394
PAH,Pah
FRMD6,Frmd6
CFAP44,Cfap44
REV1,Rev1
OR8D2,Olfr926
CYB5R1,Cyb5r1
ATP5G3,Atp5g3
LSR,Lsr
AURKC,Aurkc
FPR3,Fpr3
FPR2,Fpr3
FPR3,Fpr2
FPR2,Fpr2
MRPS28,Mrps28
PASK,Pask
RXFP1,Rxfp1
CFH,Cfhr2
CFHR3,Cfhr2
BPI,Bpi
PIP4K2A,Pip4k2a
COLGALT2,Colgalt2
COTL1,Cotl1
ARPIN,Arpin
C15orf38-AP3S2,Arpin
RTN2,Rtn2
LGALS12,Lgals12
HIPK1,Hipk1
COL17A1,Col17a1
SRP9,Srp9
TMF1,Tmf1
OR1E1,Olfr396-ps1
OR1E2,Olfr396-ps1
AC022167.5,Gm43786
SHMT1,Shmt1
INO80D,Ino80d
VPS50,Vps50
DUSP6,Dusp6
CLEC4A,Clec4a1
BMP4,Bmp4
FPR3,Fpr-rs4
FPR2,Fpr-rs4
EIF5B,Eif5b
AQP11,Aqp11
MRPS25,Mrps25
POLE,Pole
CCDC91,Ccdc91
TAS2R19,Tas2r136
TAS2R50,Tas2r136
TAS2R30,Tas2r136
TAS2R20,Tas2r136
TAS2R43,Tas2r136
TAS2R31,Tas2r136
TAS2R46,Tas2r136
MOV10,Mov10
MTA2,Mta2
NR2C2,Nr2c2
KLHL5,Klhl5
USP6NL,Usp6nl
COL4A1,Col4a1
OR8D1,Olfr930
C8orf46,3110035E14Rik
KLHL2,Klhl2
DDIAS,Ddias
CST7,Cst7
CATSPER2,Catsper2
TNFRSF1B,Tnfrsf1b
SEMA3E,Sema3e
MYH3,Myh13
TRAK2,Trak2
NUP160,Nup160
MGA,Mga
HGF,Hgf
C2orf70,1700001C02Rik
EPB41L2,Epb41l2
WBSCR17,Wbscr17
AOAH,Aoah
LRRC8A,Gm28035
EEF1B2,Eef1b2
ADHFE1,Adhfe1
CLEC4A,Clec4a3
PDIA3,Pdia3
ACSF2,Acsf2
SNAPC1,AC124712.1
HIF1A,Hif1a
ARHGEF11,Arhgef11
SMCR8,Smcr8
EZH1,Ezh1
NSD2,Nsd2
OR1E1,Olfr23
OR1E2,Olfr23
CYP2J2,Cyp2j9
SLC34A3,Slc34a3
ZNF566,Zfp566
SLC39A9,Slc39a9
RHPN2,Rhpn2
TMEM256,Tmem256
TMEM256-PLSCR3,Tmem256
ZFP82,Zfp82
TMEM161B,Tmem161b
CHAD,Chad
SRSF9,Srsf9
SLC8B1,Slc8b1
OR10P1,Olfr796
DSC2,Dsc2
CACNG3,Cacng3
CTNNBIP1,Ctnnbip1
NDUFS1,Ndufs1
NPR1,Npr1
GRIA1,Gria1
USF2,Usf2
ZNF566,Gm26920
HSD17B7,Hsd17b7
SLC25A40,Slc25a40
FAAP24,Faap24
DEGS1,Degs1
PAPSS1,Papss1
KLHL36,Klhl36
POU4F3,Pou4f3
VPS35,Vps35
SRM,Srm
GBE1,Gbe1
AC244226.1,Ighv9-3
IGHV7-81,Ighv9-3
MBD3,Mbd3
NDUFS7,Ndufs7
SESN2,Sesn2
SIRPB2,Gm5150
IZUMO4,Izumo4
HNRNPLL,Hnrnpll
HEPHL1,Hephl1
DCAF12,Dcaf12
OR8D1,Olfr933
TAS2R14,Tas2r117
SHANK3,Shank3
CKAP2L,Ckap2l
IGHV3-15,Ighv7-3
AC136616.2,Ighv7-3
IGHV3-49,Ighv7-3
PRR14,Prr14
HSF4,Hsf4
ZXDC,Zxdc
FAM167A,Fam167a
COL4A2,Col4a2
ADAL,Adal
TCF21,Tcf21
APMAP,Apmap
CYP4A11,Cyp4a29
CYP4A22,Cyp4a29
TERB1,Terb1
FZD10,Fzd10
NTRK1,Ntrk1
IDE,Ide
OR5G3,Olfr1000
SNAPC1,Snapc1
PPP2CA,Ppp2ca
SIN3B,Sin3b
MID1IP1,Mid1ip1
FGFR4,Fgfr4
TNFRSF8,Tnfrsf8
GATC,Gatc
AL021546.1,Gatc
TMEM140,Tmem140
IGHV1-24,Ighv1-84
AC245369.4,Ighv1-84
MASTL,Mastl
PAK1,Pak1
C7orf49,3110062M04Rik
LRRC71,Lrrc71
IGHV1-24,Ighv14-4
AC245369.4,Ighv14-4
SH3YL1,Sh3yl1
AL022238.4,Adsl
ADSL,Adsl
COQ3,Coq3
ASB7,Asb7
PIGR,Pigr
ZNF689,Zfp689
ORC6,Orc6
NMI,Nmi
CFAP100,Cfap100
IKBKB,Ikbkb
LBP,Lbp
CNKSR3,Cnksr3
OSTF1,Ostf1
IGKV5-2,Igkv17-127
WNT2,Wnt2
CLDN34,Cldn34b3
FAM160A1,Fam160a1
ZNF646,Zfp646
HAMP,Hamp2
INSRR,Insrr
PRSS53,Prss53
LIN7C,Lin7c
TRIAP1,Triap1
CYS1,Cys1
SELENOW,Selenow
IGHV3-15,Ighv7-4
AC136616.2,Ighv7-4
IGHV3-49,Ighv7-4
GALC,Galc
SUPT5H,Supt5
NDUFS5,Ndufs5
QTRT1,Qtrt1
HCAR3,Hcar2
HCAR2,Hcar2
MSRB3,Msrb3
DNM1,Dnm1
ARFIP1,Arfip1
OR2Y1,Olfr1373
FBXO28,Fbxo28
GRAMD1B,Gramd1b
HCAR1,Hcar1
HRASLS5,Hrasls5
AKIRIN1,Akirin1
VKORC1,Vkorc1
AC135050.2,Vkorc1
ABHD2,Abhd2
QRFP,Qrfp
LCMT2,Lcmt2
CRYBB1,Crybb1
GRK1,Grk1
AGPAT4,Agpat4
VKORC1,Gm21974
AC135050.2,Gm21974
STRAP,Strap
ZNF668,Zfp668
ITGA8,Itga8
OR2Y1,Olfr1371
CRY2,Cry2
DNAJC12,Dnajc12
TCERG1,Tcerg1
FGF14,Fgf14
SH3D21,Sh3d21
KIAA2026,9930021J03Rik
FBXW7,Fbxw7
PEAR1,Pear1
RHBDL2,Rhbdl2
CAMK2B,Camk2b
MROH1,Mroh1
IGHV4-61,Ighv3-4
IGHV4-28,Ighv3-4
IGHV4-31,Ighv3-4
IGHV4OR15-8,Ighv3-4
IGHV4-39,Ighv3-4
AC135068.2,Ighv3-4
AC233755.1,Ighv3-4
IGHV4-34,Ighv3-4
IGHV4-4,Ighv3-4
IGHV4-59,Ighv3-4
COLQ,Colq
NBEA,Nbea
RAB3B,Rab3b
CCDC62,Ccdc62
SLC39A14,Slc39a14
TAS2R14,Tas2r123
EME1,Eme1
ASIC2,Asic2
NCALD,Ncald
CCDC62,Gm43518
NUDT7,Nudt7
DENR,Denr
MFSD1,Mfsd1
SLC6A12,Slc6a12
RAMP2,Ramp2
TAS2R14,Tas2r116
LRRC59,Lrrc59
PRDX1,Prdx1
TAS1R3,Tas1r3
MEN1,Men1
GPR155,Gpr155
CHD5,Chd5
CLMN,Clmn
LRRC75A,Lrrc75a
ARHGAP15,Arhgap15
CDH9,Cdh9
BTD,Btd
NCKAP1,Nckap1
DVL1,Dvl1
SPATA6,Spata6
PAM,Pam
MRPL27,Mrpl27
VPS25,Vps25
HACL1,Hacl1
PCDHA11,Pcdha11
ARHGAP10,Arhgap10
KCND1,Kcnd1
FCMR,Fcmr
IGHV4-61,Ighv3-5
IGHV4-28,Ighv3-5
IGHV4-31,Ighv3-5
IGHV4OR15-8,Ighv3-5
IGHV4-39,Ighv3-5
AC135068.2,Ighv3-5
AC233755.1,Ighv3-5
IGHV4-34,Ighv3-5
IGHV4-4,Ighv3-5
IGHV4-59,Ighv3-5
GATB,Gatb
TMEM126B,Tmem126b
CLDN34,Cldn34b4
KLHL13,Klhl13
PHF14,Phf14
ELFN1,Elfn1
FIBCD1,Fibcd1
AC113404.3,Rap1b
RAP1B,Rap1b
TAS2R14,Tas2r110
CASP3,Casp3
MUC4,Muc4
TAS2R14,Tas2r113
DDX18,Ddx18
UBAP1,Ubap1
OR8G1,Olfr937
OR8G5,Olfr937
PCDHB11,Pcdhb19
PCDHB12,Pcdhb19
MTR,Mtr
CLDN34,Cldn34d
FAHD2B,Fahd2a
FAHD2A,Fahd2a
NELFA,Nelfa
BTF3L4,AC153134.1
IGHV4-61,Ighv3-6
