"Ligand"	"Receptor"	"neighborhood"	"neighborhood_transferred"	"fusion"	"cooccurence"	"homology"	"coexpression"	"coexpression_transferred"	"experiments"	"experiments_transferred"	"database"	"database_transferred"	"textmining"	"textmining_transferred"	"combined_score"
"RSPO4.FAP"	"RSPO4"	"FAP"	0	0	0	0	0	0	0	0	0	0	0	0	483	483
"UTS2.PROKR2"	"UTS2"	"PROKR2"	0	0	0	0	0	0	0	0	0	900	0	0	0	900
"FGF4.PROKR2"	"FGF4"	"PROKR2"	0	0	0	0	0	0	0	0	0	0	0	254	0	254
"DLL3.PROKR2"	"DLL3"	"PROKR2"	0	0	0	0	0	0	0	0	0	0	0	208	0	208
"PDYN.NGFR"	"PDYN"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	193	0	193
"PDYN.DRD4"	"PDYN"	"DRD4"	0	0	0	0	0	0	0	0	0	900	0	309	0	927
"PDYN.BDKRB1"	"PDYN"	"BDKRB1"	0	0	0	0	0	0	0	0	0	900	0	61	0	902
"OXT.CD9"	"OXT"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	208	0	208
"OXT.SCTR"	"OXT"	"SCTR"	0	0	0	0	0	0	0	0	0	0	0	241	0	240
"OXT.NGFR"	"OXT"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	174	0	173
"OXT.DRD4"	"OXT"	"DRD4"	0	0	0	0	0	0	0	0	0	0	0	354	0	354
"OXT.BDKRB1"	"OXT"	"BDKRB1"	0	0	0	0	0	0	0	0	0	900	0	0	0	900
"OXT.PROKR2"	"OXT"	"PROKR2"	0	0	0	0	0	0	0	0	0	900	0	59	0	901
"CX3CL1.PGRMC1"	"CX3CL1"	"PGRMC1"	0	0	0	0	0	0	0	0	0	0	0	165	0	165
"GZMB.PGRMC1"	"GZMB"	"PGRMC1"	0	0	0	0	0	0	0	0	0	0	0	805	0	805
"OXT.PGRMC1"	"OXT"	"PGRMC1"	0	0	0	0	0	0	0	0	0	0	0	218	0	218
"F9.CFTR"	"F9"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	330	0	330
"F9.CD4"	"F9"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	214	0	214
"F9.PROCR"	"F9"	"PROCR"	0	0	0	0	0	0	0	0	0	0	0	315	0	315
"TIMP1.ITGA3"	"TIMP1"	"ITGA3"	0	0	0	0	0	0	0	0	0	0	0	181	0	181
"TIMP1.CD9"	"TIMP1"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	243	0	242
"TIMP1.CD74"	"TIMP1"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	203	0	203
"TIMP1.CD4"	"TIMP1"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	215	0	215
"TIMP1.TNFRSF1A"	"TIMP1"	"TNFRSF1A"	0	0	0	0	0	0	92	0	0	0	0	302	0	339
"TIMP1.NGFR"	"TIMP1"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	284	0	284
"TIMP1.FAP"	"TIMP1"	"FAP"	0	0	0	0	0	0	0	0	0	0	0	243	0	242
"TIMP1.ITGB4"	"TIMP1"	"ITGB4"	0	0	0	0	0	0	0	0	0	0	0	160	0	159
"UTS2.MLNR"	"UTS2"	"MLNR"	0	0	0	0	0	0	0	0	0	900	0	0	0	900
"OXT.MLNR"	"OXT"	"MLNR"	0	0	0	0	0	0	0	0	0	900	0	136	0	909
"MMP2.CFTR"	"MMP2"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	196	0	196
"MMP2.ITGA3"	"MMP2"	"ITGA3"	0	0	0	0	0	0	0	0	0	0	0	225	0	224
"MMP2.CD9"	"MMP2"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	865	0	865
"MMP2.CD74"	"MMP2"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	160	0	159
"MMP2.CD4"	"MMP2"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	200	0	200
"MMP2.TNFRSF1A"	"MMP2"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	215	0	215
"MMP2.IL4R"	"MMP2"	"IL4R"	0	0	0	0	0	0	0	0	0	0	0	207	0	207
"MMP2.NGFR"	"MMP2"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	284	0	284
"MMP2.FAP"	"MMP2"	"FAP"	0	0	0	0	0	0	113	0	0	0	0	301	0	353
"MMP2.ITGB4"	"MMP2"	"ITGB4"	0	0	0	0	0	0	0	0	0	0	0	198	0	198
"CCL22.CD4"	"CCL22"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	583	0	583
"CCL17.CD4"	"CCL17"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	636	0	636
"CCL17.TNFRSF1A"	"CCL17"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	186	0	186
"CCL17.IL4R"	"CCL17"	"IL4R"	0	0	0	0	0	0	0	0	0	0	0	211	0	211
"TG.CFTR"	"TG"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	309	0	309
"TG.CD74"	"TG"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	152	0	151
"TG.CD4"	"TG"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	356	0	356
"PLAT.CFTR"	"PLAT"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	163	100	214
"PLAT.CD74"	"PLAT"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	113	89	157
"PLAT.ITGB4"	"PLAT"	"ITGB4"	0	0	0	0	0	0	0	0	0	0	0	157	0	156
"PLAT.PROCR"	"PLAT"	"PROCR"	0	0	0	0	0	0	0	0	0	0	0	159	0	158
"GZMB.TNFRSF10A"	"GZMB"	"TNFRSF10A"	0	0	0	0	0	0	0	0	0	0	0	386	0	386
"MMP2.TNFRSF10A"	"MMP2"	"TNFRSF10A"	0	0	0	0	0	0	0	0	0	0	0	191	0	191
"LHB.CD9"	"LHB"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	201	0	201
"LHB.PROKR2"	"LHB"	"PROKR2"	0	0	0	0	0	0	0	0	0	0	0	311	0	311
"EFNB1.SLC17A7"	"EFNB1"	"SLC17A7"	0	0	0	0	0	0	0	0	0	0	0	129	122	202
"PDYN.SLC17A7"	"PDYN"	"SLC17A7"	0	0	0	0	0	0	0	0	0	0	0	316	0	315
"OXT.SLC17A7"	"OXT"	"SLC17A7"	0	0	0	0	0	0	0	0	0	0	0	301	0	301
"AMH.CFTR"	"AMH"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	97	123	174
"AMH.CD74"	"AMH"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	196	0	196
"AMH.CD4"	"AMH"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	196	0	196
"AMH.RTN4R"	"AMH"	"RTN4R"	0	0	0	0	0	0	0	0	0	0	0	0	192	192
"AMH.NGFR"	"AMH"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	181	0	181
"AMH.TGFBR3"	"AMH"	"TGFBR3"	0	0	0	0	0	0	0	0	0	0	0	169	84	206
"AMH.PROKR2"	"AMH"	"PROKR2"	0	0	0	0	0	0	0	0	0	0	0	211	0	211
"TGFB1.CFTR"	"TGFB1"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	206	123	273
"TGFB1.ITGA3"	"TGFB1"	"ITGA3"	0	0	0	0	0	0	0	0	0	0	0	181	0	181
"TGFB1.CD9"	"TGFB1"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	206	0	206
"TGFB1.CD74"	"TGFB1"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	184	0	183
"TGFB1.CD4"	"TGFB1"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	708	0	708
"TGFB1.RTN4R"	"TGFB1"	"RTN4R"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"TGFB1.TNFRSF1A"	"TGFB1"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	350	0	349
"TGFB1.IL4R"	"TGFB1"	"IL4R"	0	0	0	0	0	0	0	0	0	0	0	347	0	347
"TGFB1.NGFR"	"TGFB1"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	330	0	330
"TGFB1.ITGB4"	"TGFB1"	"ITGB4"	0	0	0	0	0	0	0	0	0	0	0	169	0	169
"TGFB1.TGFBR3"	"TGFB1"	"TGFBR3"	0	0	0	0	0	0	0	961	0	0	0	460	84	979
"TGFB1.IL2RB"	"TGFB1"	"IL2RB"	0	0	0	0	0	0	0	0	0	0	0	303	0	303
"TGFB1.BDKRB1"	"TGFB1"	"BDKRB1"	0	0	0	0	0	0	0	0	0	0	0	91	202	243
"TGFB1.PROKR2"	"TGFB1"	"PROKR2"	0	0	0	0	0	0	0	0	0	0	0	195	0	195
"CCL18.CD79A"	"CCL18"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	168	0	167
"DCN.CD79A"	"DCN"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	168	0	167
"ICAM3.CD79A"	"ICAM3"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	284	0	284
"THPO.CD79A"	"THPO"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	167	0	167
"MADCAM1.CD79A"	"MADCAM1"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	535	0	535
"GZMB.CD79A"	"GZMB"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	471	0	471
"OXT.CD79A"	"OXT"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	240	0	239
"F9.CD79A"	"F9"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	330	0	330
"TIMP1.CD79A"	"TIMP1"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	300	0	300
"MMP2.CD79A"	"MMP2"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	216	0	216
"CCL17.CD79A"	"CCL17"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	160	0	159
"TG.CD79A"	"TG"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	535	0	535
"TGFB1.CD79A"	"TGFB1"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	580	0	580
"ICAM5.CD9"	"ICAM5"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	0	400	400
"ICAM5.CD4"	"ICAM5"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	207	0	207
"CCL18.EPOR"	"CCL18"	"EPOR"	0	0	0	0	0	0	0	0	0	0	0	256	0	256
"THPO.EPOR"	"THPO"	"EPOR"	0	0	0	0	0	0	0	0	0	0	0	725	0	725
"OSM.EPOR"	"OSM"	"EPOR"	0	0	0	0	0	0	0	0	0	800	0	876	0	974
"TIMP1.EPOR"	"TIMP1"	"EPOR"	0	0	0	0	0	0	0	0	0	0	0	195	0	195
"MMP2.EPOR"	"MMP2"	"EPOR"	0	0	0	0	0	0	0	0	0	0	0	194	0	194
"CCL22.EPOR"	"CCL22"	"EPOR"	0	0	0	0	0	0	0	0	0	0	0	228	0	227
"CCL17.EPOR"	"CCL17"	"EPOR"	0	0	0	0	0	0	0	0	0	0	0	240	0	239
"TGFB1.EPOR"	"TGFB1"	"EPOR"	0	0	0	0	0	0	0	0	0	0	0	206	0	206
"FGF21.NGFR"	"FGF21"	"NGFR"	0	0	0	0	0	0	0	0	0	800	0	0	0	800
"HGF.CD4"	"HGF"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"HGF.NGFR"	"HGF"	"NGFR"	0	0	0	0	0	0	0	0	0	800	0	191	0	831
"LAMB1.CFTR"	"LAMB1"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	270	0	270
"LAMB1.ITGA3"	"LAMB1"	"ITGA3"	0	0	0	0	0	0	0	0	0	900	0	303	0	927
"LAMB1.ITGB4"	"LAMB1"	"ITGB4"	0	0	0	0	0	0	0	0	0	900	0	267	130	930
"WNT16.EPHA8"	"WNT16"	"EPHA8"	0	0	0	0	0	0	0	0	104	0	0	0	140	196
"WNT16.KCND1"	"WNT16"	"KCND1"	0	0	0	0	0	0	0	0	0	0	0	181	73	208
"GZMB.ITGB8"	"GZMB"	"ITGB8"	0	0	0	0	0	0	0	0	0	0	0	290	0	290
"TGFB1.ITGB8"	"TGFB1"	"ITGB8"	0	0	0	0	0	0	0	576	0	0	0	214	0	652
"LAMB1.ITGB8"	"LAMB1"	"ITGB8"	0	0	0	0	0	0	0	0	0	800	0	0	130	818
"PDAP1.IL4R"	"PDAP1"	"IL4R"	0	0	0	0	0	0	0	0	0	0	0	158	0	157
"RSPO4.TFR2"	"RSPO4"	"TFR2"	0	0	0	0	0	0	0	0	0	0	0	0	200	200
"TGFB1.TFR2"	"TGFB1"	"TFR2"	0	0	0	0	0	0	0	0	0	0	0	168	0	167
"SERPINE1.CFTR"	"SERPINE1"	"CFTR"	0	0	0	0	0	0	0	0	0	0	0	200	0	200
"SERPINE1.CD4"	"SERPINE1"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	177	0	177
"SERPINE1.TNFRSF1A"	"SERPINE1"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	260	0	260
"SERPINE1.NGFR"	"SERPINE1"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	125	787	805
"SERPINE1.FAP"	"SERPINE1"	"FAP"	0	0	0	0	0	0	0	0	0	0	0	168	0	167
"SERPINE1.IL2RB"	"SERPINE1"	"IL2RB"	0	0	0	0	0	0	0	0	0	0	0	208	0	208
"SERPINE1.PROCR"	"SERPINE1"	"PROCR"	0	0	0	0	0	0	0	0	0	0	0	192	0	192
"SERPINE1.PGRMC1"	"SERPINE1"	"PGRMC1"	0	0	0	0	0	0	0	0	0	0	0	216	69	238
"SERPINE1.CD79A"	"SERPINE1"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	304	0	304
"SERPINE1.EPOR"	"SERPINE1"	"EPOR"	0	0	0	0	0	0	0	0	0	0	0	300	0	300
"C5.DRD4"	"C5"	"DRD4"	0	0	0	0	0	0	0	0	0	900	0	0	0	900
"C5.BDKRB1"	"C5"	"BDKRB1"	0	0	0	0	0	0	0	0	0	900	0	0	0	900
"TNFSF8.CD4"	"TNFSF8"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	360	0	360
"TNFSF8.TNFRSF1A"	"TNFSF8"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	409	0	408
"TNFSF8.NGFR"	"TNFSF8"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	243	0	242
"TNFSF8.IL2RB"	"TNFSF8"	"IL2RB"	0	0	0	0	0	0	0	0	0	0	0	209	0	209
"TNFSF8.CD79A"	"TNFSF8"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	312	0	311
"SERPINE1.PLGRKT"	"SERPINE1"	"PLGRKT"	0	0	0	0	0	0	0	0	0	0	0	144	148	239
"VIM.CFTR"	"VIM"	"CFTR"	0	0	0	0	0	0	0	574	0	0	0	101	0	600
"VIM.ITGA3"	"VIM"	"ITGA3"	0	0	0	0	0	0	0	0	0	0	0	198	0	198
"VIM.CD9"	"VIM"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	220	0	220
"VIM.CD74"	"VIM"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	158	0	157
"VIM.CD4"	"VIM"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"VIM.ITGB4"	"VIM"	"ITGB4"	0	0	0	0	0	0	0	576	0	0	0	204	0	648
"VIM.CD79A"	"VIM"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	205	0	205
"GDF10.TGFBR3"	"GDF10"	"TGFBR3"	0	0	0	0	0	0	0	0	0	0	0	180	84	216
"FGF4.BMPR1A"	"FGF4"	"BMPR1A"	0	0	0	0	0	0	0	0	0	0	0	324	93	360
"THPO.BMPR1A"	"THPO"	"BMPR1A"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"EFNB1.BMPR1A"	"EFNB1"	"BMPR1A"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"MMP2.BMPR1A"	"MMP2"	"BMPR1A"	0	0	0	0	0	0	0	0	0	0	0	177	0	177
"SFRP1.BMPR1A"	"SFRP1"	"BMPR1A"	0	0	0	0	0	0	0	0	0	0	0	191	78	222
"AMH.BMPR1A"	"AMH"	"BMPR1A"	0	0	0	0	0	0	0	0	149	800	0	501	288	931
"TGFB1.BMPR1A"	"TGFB1"	"BMPR1A"	0	0	0	0	0	0	0	0	149	0	0	512	288	678
"WNT16.BMPR1A"	"WNT16"	"BMPR1A"	0	0	0	0	0	0	0	0	0	0	0	195	150	286
"SERPINE1.BMPR1A"	"SERPINE1"	"BMPR1A"	0	0	0	0	0	0	0	0	0	0	0	267	78	295
"GDF10.BMPR1A"	"GDF10"	"BMPR1A"	0	0	0	0	0	0	0	0	149	0	0	301	288	539
"CCL3.CD4"	"CCL3"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	700	0	700
"CCL3.TNFRSF17"	"CCL3"	"TNFRSF17"	0	0	0	0	0	0	0	0	0	0	0	204	0	204
"CCL3.TNFRSF1A"	"CCL3"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	307	0	307
"CCL3.IL2RB"	"CCL3"	"IL2RB"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"CCL3.CD79A"	"CCL3"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	251	0	250
"CSF3.CD9"	"CSF3"	"CD9"	0	0	0	0	0	0	0	0	0	0	0	186	0	186
"CSF3.CD74"	"CSF3"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"CSF3.CD4"	"CSF3"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	585	0	585
"CSF3.TNFRSF1A"	"CSF3"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	361	0	361
"CSF3.IL4R"	"CSF3"	"IL4R"	0	0	0	0	0	0	0	0	0	800	0	243	0	842
"CSF3.NGFR"	"CSF3"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	355	0	355
"CSF3.IL2RB"	"CSF3"	"IL2RB"	0	0	0	0	0	0	0	0	0	800	0	160	0	824
"CSF3.PROKR2"	"CSF3"	"PROKR2"	0	0	0	0	0	0	0	0	0	0	0	227	0	226
"CSF3.CD79A"	"CSF3"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	407	0	407
"CSF3.EPOR"	"CSF3"	"EPOR"	0	0	0	0	0	0	0	0	0	800	0	502	0	896
"CSF3.ITGB8"	"CSF3"	"ITGB8"	0	0	0	0	0	0	0	0	0	0	0	271	0	271
"WNT3.EPHA8"	"WNT3"	"EPHA8"	0	0	0	0	0	0	0	0	104	0	0	0	140	196
"WNT3.BMPR1A"	"WNT3"	"BMPR1A"	0	0	0	0	0	0	0	0	0	0	0	302	150	381
"CCL2.CD4"	"CCL2"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	659	0	659
"CCL2.TNFRSF1A"	"CCL2"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	890	0	890
"CCL2.IL4R"	"CCL2"	"IL4R"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"CCL2.ITGB4"	"CCL2"	"ITGB4"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"CCL2.IL2RB"	"CCL2"	"IL2RB"	0	0	0	0	0	0	0	0	0	0	0	292	0	292
"CCL2.PROCR"	"CCL2"	"PROCR"	0	0	0	0	0	0	0	0	0	0	0	440	0	440
"CCL2.CD79A"	"CCL2"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	383	0	382
"CCL2.EPOR"	"CCL2"	"EPOR"	0	0	0	0	0	0	0	0	0	0	0	198	0	198
"CCL1.CD4"	"CCL1"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	348	0	347
"CCL1.RTN4R"	"CCL1"	"RTN4R"	0	0	0	0	0	0	0	0	0	0	0	243	0	242
"CCL1.PGRMC1"	"CCL1"	"PGRMC1"	0	0	0	0	0	0	0	0	0	0	0	205	0	205
"CCL1.CD79A"	"CCL1"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	283	0	282
"CCL13.CD4"	"CCL13"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	210	0	210
"CCL13.TNFRSF1A"	"CCL13"	"TNFRSF1A"	0	0	0	0	0	0	0	0	0	0	0	151	0	150
"COL1A1.ITGA3"	"COL1A1"	"ITGA3"	0	0	0	0	0	0	0	0	0	800	0	228	0	838
"COL1A1.CD74"	"COL1A1"	"CD74"	0	0	0	0	0	0	0	0	0	0	0	206	0	206
"COL1A1.CD4"	"COL1A1"	"CD4"	0	0	0	0	0	0	0	0	0	0	0	178	0	177
"COL1A1.NGFR"	"COL1A1"	"NGFR"	0	0	0	0	0	0	0	0	0	0	0	312	0	311
"COL1A1.ITGB4"	"COL1A1"	"ITGB4"	0	0	0	0	0	0	0	0	0	800	0	151	85	831
"COL1A1.IL2RB"	"COL1A1"	"IL2RB"	0	0	0	0	0	0	0	0	0	0	0	163	0	163
"COL1A1.CD79A"	"COL1A1"	"CD79A"	0	0	0	0	0	0	0	0	0	0	0	195	0	195
"COL1A1.ITGB8"	"COL1A1"	"ITGB8"	0	0	0	0	0	0	0	0	0	800	0	92	93	820
